,word1,word2,prediction
0,abandon,consigning,-0.20915836095809937
1,abandon,left,-0.8911871090531349
2,abandon,soldier,-0.6893414258956909
3,about,wandering,-0.5083597600460052
4,abstract,moon,-0.5713261663913727
5,abstract,rally,-0.927582249045372
6,abundance,wealth,-0.39125049114227295
7,abuse,access,-0.594401478767395
8,accepted,accepted,-0.0
9,accepted,acknowledged,-0.3121558427810669
10,access,approach,-0.4498469829559326
11,access,gateway,-0.4522782564163208
12,accommodation,arrangement,-0.21436846256256104
13,accommodation,settlement,-0.2824479937553406
14,accompany,walking,-0.5497235953807831
15,accomplishment,pass,-0.69624263048172
16,account,invoice,-0.14742511510849
17,account,statement,-0.5965517163276672
18,acoustic,remedy,-0.7523094713687897
19,acre,earthquake,-0.6102013885974884
20,acrylic,cloth,-0.06368279457092285
21,act,counter,-0.4716362953186035
22,act,played,-1.0353486761450768
23,action,adjustment,-0.3700261116027832
24,activity,music,-0.8015177398920059
25,add,increased,-0.8305243253707886
26,add,string,-0.6278887093067169
27,adult,type,-0.330044686794281
28,advance,advance,-0.0
29,advance,recovery,-0.5141606032848358
30,advance,string,-0.5639519095420837
31,adventure,rail,-0.5933437943458557
32,adventure,sixteen,-0.6510721445083618
33,advice,retail,-0.9976815360132605
34,advocate,booster,-0.3505696654319763
35,age,childhood,-0.1678963303565979
36,aged,develop,-0.7658324986696243
37,aged,worn,-0.6042832732200623
38,agency,office,-0.4193798303604126
39,agent,motor,-0.7540082782506943
40,agent,nature,-0.8052761405706406
41,aim,purpose,-0.07737821340560913
42,air,carnival,-0.46354812383651733
43,air,cold,-0.3494594097137451
44,air,plasma,-0.46132534742355347
45,aircraft,asphalt,-0.5278913974761963
46,aircraft,balloon,-0.3753979206085205
47,aircraft,guy,-0.8646286129951477
48,aircraft,yacht,-0.2410779595375061
49,airplane,plane,-0.1366698145866394
50,alarm,horn,-0.39525967836380005
51,alarm,press,-0.5476737022399902
52,albert,einstein,-0.31390607357025146
53,alley,punk,-0.40148037672042847
54,alloy,metal,-0.20671957731246948
55,american,lobster,-0.7931485176086426
56,anatomy,palm,-0.6283340156078339
57,ancient,city,-0.5303643643856049
58,ancient,pod,-0.4320269823074341
59,animal,hand,-0.6809622645378113
60,animal,pet,-0.13545161485671997
61,animal,wild,-0.27654874324798584
62,anniversary,birthday,-0.26566123962402344
63,answer,counter,-0.7783813923597336
64,answer,plea,-0.44080597162246704
65,answering,react,-0.3385610580444336
66,anxiety,worry,-0.6263728141784668
67,apartment,bathroom,-0.15750104188919067
68,apartment,beach,-0.37582188844680786
69,apartment,staircase,-0.1595296859741211
70,apartment,valley,-0.46899938583374023
71,apple,bank,-0.6027128100395203
72,apple,blossom,-0.3426329493522644
73,apple,cute,-0.6331135630607605
74,apple,dessert,-0.0986364483833313
75,apple,fruit,-0.04870176315307617
76,application,use,-0.2548685669898987
77,approach,avenue,-0.9631723165512085
78,approach,trench,-0.6170466244220734
79,approval,encouragement,-0.37086379528045654
80,arab,coffee,-1.1302424371242523
81,arch,curve,-0.2572237253189087
82,arch,shoulder,-0.47216254472732544
83,architecture,engineering,-0.45176512002944946
84,architecture,urban,-0.169264018535614
85,architecture,yellow,-0.6987689137458801
86,area,patio,-0.4706106185913086
87,arm,arrow,-0.22063905000686646
88,arm,caterpillar,-0.45346349477767944
89,army,battleship,-0.3670247197151184
90,aroma,fragrance,-0.18677634000778198
91,arrange,string,-0.7292361855506897
92,arrangement,flower,-0.7489664852619171
93,arrow,boxer,-0.36178165674209595
94,art,beer,-0.7485531270503998
95,art,drive,-0.8534285575151443
96,art,gem,-0.19345277547836304
97,art,painting,-0.1734020709991455
98,art,work,-0.7076647877693176
99,assessments,charge,-0.24646949768066406
100,assets,credit,-0.13562005758285522
101,assistant,secretary,-0.18960726261138916
102,association,realtor,-0.5953374803066254
103,assumption,conclusion,-0.12293529510498047
104,asylum,dollar,-1.096459612250328
105,asylum,gem,-0.910522848367691
106,athlete,participant,-0.3591088056564331
107,athletics,broadcasting,-0.738670140504837
108,attitude,respect,-0.27749931812286377
109,attitude,study,-0.8083903342485428
110,attorney,lawyer,-0.025393187999725342
111,attraction,pressure,-0.6861007511615753
112,attraction,quality,-0.5713382065296173
113,attribute,condition,-0.5186572670936584
114,automobile,racing,-0.6254430413246155
115,autumn,sunshine,-0.09484797716140747
116,baby,treat,-0.4689508080482483
117,back,out,-0.11929255723953247
118,backward,educated,-1.034606359899044
119,bacon,cooking,-0.08657824993133545
120,bacon,dessert,-0.08373773097991943
121,bacon,eat,-0.17785680294036865
122,bacon,potato,-0.011066019535064697
123,bag,cop,-0.6067637801170349
124,bag,wire,-0.2197580337524414
125,bait,pump,-0.43520092964172363
126,bakery,cake,-0.3387083411216736
127,bakery,work,-1.0168772861361504
128,bakery,zebra,-0.5446991324424744
129,balance,gauge,-0.284604012966156
130,ball,curl,-0.26259684562683105
131,ball,egg,-0.7144235372543335
132,ball,situation,-0.8939028084278107
133,ball,sphere,-0.7280822396278381
134,band,ear,-0.5046416819095612
135,band,guitar,-0.06899821758270264
136,band,musician,-0.21212708950042725
137,band,punk,-0.04714411497116089
138,bar,boat,-0.5456152558326721
139,bar,cocktail,-0.19633829593658447
140,bar,pub,-0.07296913862228394
141,base,club,-0.4863385558128357
142,baseball,cheetah,-0.523508608341217
143,baseball,rainbow,-0.6201134920120239
144,baseball,season,-0.2935514450073242
145,basket,moss,-0.3239443302154541
146,bat,bat,-0.0
147,bat,boy,-0.4948093295097351
148,bat,fruit,-0.7431826591491699
149,bat,march,-0.9925495279021561
150,bat,turn,-0.49444741010665894
151,bath,floor,-0.2805463671684265
152,bath,patio,-0.1905510425567627
153,bathroom,bedroom,-0.05997854471206665
154,bathroom,room,-0.08111608028411865
155,bathroom,sitting,-0.17843037843704224
156,bathroom,staircase,-0.20029884576797485
157,battle,fight,-0.2543039321899414
158,battle,war,-0.09420454502105713
159,bay,curve,-0.7052818536758423
160,bead,chess,-0.5984767079353333
161,bead,redhead,-0.4622870087623596
162,beard,blonde,-0.13713300228118896
163,beard,flamingo,-0.5094524919986725
164,beard,sport,-0.5105562210083008
165,beat,meter,-0.4017218351364136
166,bed,bedroom,-0.1322472095489502
167,bed,ceiling,-0.22793161869049072
168,bed,layer,-0.4653961658477783
169,bed,plant,-0.7621943205595016
170,bed,relax,-0.4230801463127136
171,bedroom,canyon,-0.5513598918914795
172,bedroom,cottage,-0.23486953973770142
173,bedroom,door,-0.1343381404876709
174,bedroom,floor,-0.09433561563491821
175,bedroom,pool,-0.28077298402786255
176,bedroom,sleep,-0.5539398789405823
177,bedroom,stair,-0.11957806348800659
178,beef,cooking,-0.10253697633743286
179,beef,deer,-0.6542150676250458
180,beet,rank,-0.7813950031995773
181,belief,magic,-0.5758805274963379
182,belief,purpose,-0.07186561822891235
183,believe,levy,-1.0641318932175636
184,belly,dark,-0.27487945556640625
185,benefit,interest,-0.22634923458099365
186,benefited,help,-0.668221652507782
187,bent,double,-0.5036031007766724
188,bent,inclination,-0.48575204610824585
189,berlin,germany,-0.20851624011993408
190,berry,flying,-0.7488590478897095
191,berry,sweet,-0.3070169687271118
192,bible,misty,-0.5473342835903168
193,bicycle,green,-0.42254638671875
194,bikini,ivy,-0.28164613246917725
195,billboard,structure,-0.5784749984741211
196,bin,box,-0.8508736938238144
197,bin,cup,-1.1404708921909332
198,bird,cock,-0.3068901300430298
199,bird,goose,-0.15903908014297485
200,bird,shade,-0.3790929317474365
201,birthday,happy,-0.5988174080848694
202,bishop,priest,-0.23386108875274658
203,bishop,seizure,-0.8374117463827133
204,bishop,wine,-0.8301736563444138
205,bit,tool,-0.6323464810848236
206,bitter,bitter,-0.0
207,black,bright,-0.14132064580917358
208,black,brown,-0.3888053297996521
209,black,colour,-0.49584901332855225
210,black,grey,-0.1551099419593811
